["Median Household Size", "Median Household Income", "Number of Occupied Housing Units", "Number of Housing Units", "Non-English Speaking Population", "Foreign-Born", "Number of People Below the Poverty Line", "Total Population"]
2.49, 24061, 10643, 12870, 686, 0, 7655, 26898, 35020
2.52, 62017, 1123, 1238, 14, 0, 247, 2829, 54101
3.44, 40350, 2688, 3096, 69, 0, 1807, 11408, 80902
2.67, 28678, 6733, 8997, 121, 0, 5935, 18159, 70127
2.96, 94724, 16014, 16705, 2469, 0, 2255, 47942, 92064
2.7, 55744, 12847, 13797, 4454, 26, 5501, 35290, 95401
2.12, 44375, 703, 893, 18, 0, 173, 1499, 59001
2.12, 44375, 703, 893, 18, 0, 173, 1499, 59001
2.12, 44375, 703, 893, 18, 0, 173, 1499, 59001
2.78, 65570, 9399, 10154, 625, 9, 1603, 26390, 08205
2.68, 63653, 11999, 13021, 2704, 29, 5564, 33851, 92831
2.78, 91105, 14552, 15207, 2406, 0, 2708, 42083, 91360
2.89, 80625, 6895, 7893, 320, 24, 835, 19932, 85641
2.66, 50098, 10827, 12077, 997, 0, 3707, 28949, 85053
2.59, 28346, 13198, 15126, 3335, 106, 8980, 34674, 92543
2.35, 60687, 15362, 16634, 602, 6, 3247, 36745, 07753
2.19, 24103, 6266, 7641, 191, 14, 5573, 14386, 35816
2.7, 108605, 8539, 9163, 318, 0, 596, 23195, 07076
2.71, 39481, 36367, 39193, 5696, 123, 20398, 99422, 11226
2.58, 37701, 11442, 12718, 561, 0, 4854, 31131, 35810
2.19, 48522, 14260, 15440, 2660, 15, 5809, 31798, 80211
3.07, 53283, 20429, 21630, 15816, 182, 9726, 63424, 90042
2.97, 42983, 18083, 20108, 3166, 0, 14671, 54265, 55106
4.15, 37274, 18290, 19168, 34078, 157, 19343, 76137, 90255
3.62, 44759, 13042, 13943, 11646, 51, 8432, 48729, 90032
3.44, 29883, 16299, 18164, 13650, 59, 19065, 56231, 85706
2.08, 21750, 13770, 15218, 623, 0, 13903, 37130, 61820
2.64, 22813, 7936, 10631, 148, 0, 8974, 20957, 43211
2.42, 53377, 13045, 13811, 63, 32, 3961, 32563, 48640
2.39, 45921, 12923, 14660, 602, 62, 4708, 31342, 31904
3.35, 33834, 6289, 7413, 11685, 26, 5028, 21185, 77012
3.52, 53695, 8075, 8899, 5394, 78, 4441, 28464, 77049
2, 46074, 17108, 19648, 4135, 116, 6055, 34456, 77063
2.54, 43522, 11073, 12266, 1372, 12, 5403, 28141, 61109
2.72, 56669, 12490, 13234, 261, 0, 3976, 34158, 72023
2.62, 52038, 11794, 18299, 2507, 0, 3715, 32004, 33040
2.54, 33483, 12309, 14328, 1129, 32, 10346, 31461, 44052
2.46, 55545, 3098, 3472, 262, 0, 896, 7767, 06052
3.03, 19840, 12433, 13699, 13849, 48, 16460, 38523, 10454
2.56, 21050, 8620, 9926, 10672, 726, 10667, 22401, 90017
2.47, 26191, 9885, 12146, 394, 0, 8494, 27698, 29405
1.81, 31415, 14663, 16838, 4685, 19, 6906, 27434, 90028
2.22, 20329, 3460, 4626, 158, 0, 3274, 8508, 71101
2.44, 35709, 16562, 18870, 143, 13, 10197, 41156, 48060
3.53, 54586, 22457, 24369, 25062, 63, 13992, 80273, 95076
2.5, 73299, 8008, 8472, 275, 0, 1545, 20075, 72113
2.5, 73299, 8008, 8472, 275, 0, 1545, 20075, 72113
2.2, 48496, 16941, 22085, 526, 0, 3149, 37975, 34698
2.5, 117431, 4684, 4838, 15, 0, 397, 11724, 64113
2.91, 60501, 17514, 19629, 8195, 0, 4810, 51235, 33176
2.02, 29298, 17198, 20304, 1589, 76, 12311, 44105, 85719
2.04, 32370, 16130, 18174, 1257, 20, 8127, 33171, 85716
2.24, 25350, 24116, 28250, 7660, 49, 18206, 54556, 85705
2.47, 52844, 13122, 14827, 2110, 0, 3086, 32820, 76180
2.05, 51753, 16073, 18281, 1230, 78, 5348, 33171, 19147
2.6, 44846, 6683, 7688, 682, 0, 3063, 18471, 33525
2.58, 77451, 13063, 13804, 97, 0, 2101, 33885, 23060
2.83, 39812, 10840, 11828, 5182, 115, 5745, 30786, 76117
2.35, 62836, 6046, 6298, 61, 16, 1610, 14350, 02189
2.29, 29256, 7287, 8203, 318, 37, 4352, 16821, 74127
2.49, 78235, 8915, 10756, 640, 0, 1632, 22252, 07719
2.67, 81271, 10123, 10409, 428, 0, 1546, 27155, 80104
2.81, 77177, 8444, 9334, 88, 9, 1755, 24754, 99645
3.25, 56345, 16886, 18491, 13112, 0, 8585, 56045, 11550
2.28, 48100, 12063, 13155, 62, 0, 2851, 27761, 15227
2.36, 36189, 17307, 19550, 2822, 39, 10051, 41154, 85711
3.44, 29883, 16299, 18164, 13650, 59, 19065, 56231, 85706
2.35, 41879, 15086, 17143, 1207, 36, 5036, 35994, 88310
2.89, 52829, 627, 767, 28, 0, 264, 1815, 76554
2.86, 87915, 13362, 13771, 193, 0, 1243, 38256, 80920
2.81, 46936, 4378, 4822, 1955, 20, 1693, 12447, 73942
3.01, 58012, 12177, 13838, 1380, 0, 5630, 36875, 92307
2.11, 41711, 12124, 13261, 644, 0, 3887, 26236, 80907
2.47, 48980, 11908, 17158, 741, 0, 3383, 29455, 29579
2.4, 39587, 12072, 15044, 486, 0, 5884, 30526, 32084
3.47, 29410, 13758, 16023, 286, 0, 19840, 47990, 48126
2.56, 37030, 4194, 4883, 574, 80, 1953, 10759, 48122
3, 64139, 1711, 1816, 304, 0, 1034, 5145, 95692
2.18, 47580, 16554, 17846, 4311, 31, 7685, 36305, 11106
2.38, 39266, 14963, 16717, 925, 0, 10069, 38064, 95926
2.51, 44047, 6822, 7363, 176, 40, 2431, 17220, 97424
2.12, 50585, 7989, 9000, 122, 0, 2175, 17143, 21211
3, 25759, 8726, 10169, 2857, 0, 9014, 26505, 33150
2.98, 61794, 31109, 33521, 2155, 0, 11524, 94643, 11236
2.48, 50828, 11450, 12652, 199, 0, 2715, 28785, 44129
2.48, 50828, 11450, 12652, 199, 0, 2715, 28785, 44129
2.48, 50828, 11450, 12652, 199, 0, 2715, 28785, 44129
3.22, 37648, 16134, 17661, 27611, 14, 16179, 52123, 11237
3.82, 40340, 23209, 26850, 30749, 62, 18891, 88723, 60632
2.88, 33127, 30553, 33965, 9794, 61, 28718, 89676, 11207
2.97, 46695, 12173, 13923, 7259, 0, 5624, 36174, 89107
2.97, 46695, 12173, 13923, 7259, 0, 5624, 36174, 89107
2.7, 108605, 8539, 9163, 318, 0, 596, 23195, 07076
2.16, 34222, 8554, 9819, 85, 0, 3485, 19297, 47710
3.08, 26574, 25103, 27498, 22741, 63, 28906, 79376, 10453
2.8, 51148, 8176, 9251, 225, 0, 3660, 22981, 60419
2.71, 69488, 15369, 17118, 316, 16, 2160, 41817, 84121
2.18, 34690, 8605, 10937, 27, 0, 3817, 19263, 45237
2.44, 47249, 13687, 15103, 5316, 172, 5370, 33432, 11102
2.7, 108605, 8539, 9163, 318, 0, 596, 23195, 07076
2.85, 37694, 10480, 13407, 8127, 70, 8283, 30538, 33460
3.13, 45737, 23061, 24715, 3785, 44, 13631, 72997, 10466
2.7, 91200, 9421, 9754, 44, 0, 795, 25559, 03054
2.7, 91200, 9421, 9754, 44, 0, 795, 25559, 03054
2, 30223, 8197, 9220, 59, 0, 4814, 22102, 61455
2.27, 35157, 22827, 26176, 5142, 46, 15470, 58834, 10027
2.6, 31749, 7679, 8971, 68, 0, 5041, 20275, 29706
2.39, 76697, 7128, 7974, 1068, 0, 1354, 18421, 87508
2.43, 44923, 15067, 17728, 995, 9, 6755, 38440, 29526
2.42, 33391, 7389, 8412, 1430, 0, 4824, 26718, 79601
3.19, 40528, 14833, 15994, 16060, 0, 13127, 54537, 08901
2.64, 22813, 7936, 10631, 148, 0, 8974, 20957, 43211
2.7, 42610, 33228, 35810, 10057, 80, 29957, 90522, 11211
2.97, 82702, 7408, 7971, 1152, 0, 1070, 22052, 78610
2.89, 52829, 627, 767, 28, 0, 264, 1815, 76554
2.26, 66677, 6283, 8243, 61, 0, 843, 14512, 28374
1.73, 16849, 792, 833, 671, 0, 527, 1543, 07505
2.57, 72728, 9692, 10360, 1126, 0, 1258, 24981, 07013
2.44, 37828, 1678, 2055, 0, 29, 923, 4094, 04294
2.86, 87915, 13362, 13771, 193, 0, 1243, 38256, 80920
2.89, 52829, 627, 767, 28, 0, 264, 1815, 76554
2.89, 52829, 627, 767, 28, 0, 264, 1815, 76554
2.34, 68952, 18396, 19849, 828, 7, 1691, 44633, 08831
3.49, 39613, 10866, 12084, 13998, 104, 8938, 38187, 77087
2.13, 45572, 11566, 12291, 925, 0, 2641, 25327, 53220
2.44, 69572, 24212, 26361, 1484, 0, 6761, 60099, 94501
2.31, 41799, 9910, 10850, 3147, 27, 5176, 23798, 11101
3.03, 19840, 12433, 13699, 13849, 48, 16460, 38523, 10454
2.79, 33241, 14097, 16959, 6906, 0, 14099, 39657, 85015
2.67, 46611, 17009, 18959, 3833, 8, 6999, 45643, 85029
2.47, 34684, 17935, 19951, 7673, 11, 10935, 44671, 89502
2.38, 55229, 13686, 16860, 5971, 25, 4996, 32708, 33133
2.33, 35610, 15373, 16238, 1209, 189, 7836, 36347, 97477
2.38, 37282, 11033, 12890, 7, 0, 6594, 26858, 44483
1.99, 92755, 13262, 14245, 811, 0, 2115, 27718, 94131
2.54, 33483, 12309, 14328, 1129, 32, 10346, 31461, 44052
2.32, 44268, 6402, 8070, 463, 0, 1653, 14878, 86426
2.35, 40174, 22274, 26310, 1365, 20, 12179, 53065, 11216
2.47, 34684, 17935, 19951, 7673, 11, 10935, 44671, 89502
2.45, 62938, 2109, 2774, 194, 0, 846, 5207, 92342
2.53, 41688, 9505, 10050, 1758, 0, 3808, 24029, 78238
2.32, 35813, 14078, 16411, 311, 0, 6397, 33535, 25801
2.63, 68269, 12339, 13141, 1159, 23, 2937, 32424, 80031
2.37, 41881, 9676, 10469, 1610, 0, 3939, 22958, 98188
2.39, 29063, 12004, 13964, 2459, 0, 8943, 29186, 10030
2.38, 37904, 18550, 22162, 2143, 0, 10865, 44477, 43229
2.8, 65449, 16289, 16901, 1295, 17, 5779, 45890, 98270
2.43, 38427, 16996, 18686, 518, 15, 9228, 42737, 42240
2.26, 43008, 13838, 15491, 2178, 29, 4915, 31439, 78217
2.84, 26826, 18959, 25076, 650, 26, 20197, 54172, 48228
2.87, 41012, 9581, 10840, 2542, 0, 5708, 27546, 75232
2.48, 41214, 16202, 17927, 2667, 0, 9286, 40692, 49504
2.64, 52697, 13532, 14916, 161, 24, 3938, 35793, 48239
2.73, 56425, 11573, 13677, 187, 0, 4417, 32791, 19904
2.12, 42214, 3725, 5657, 50, 0, 1166, 8232, 34429
3.52, 34597, 10951, 11753, 11939, 48, 11344, 39076, 90031
2.6, 31851, 29139, 31527, 13447, 70, 21244, 78451, 10029
2.72, 32412, 18634, 23205, 12513, 8, 16935, 51462, 85008
2.31, 41799, 9910, 10850, 3147, 27, 5176, 23798, 11101
2.61, 30183, 11888, 15755, 48, 0, 11867, 31585, 48504
2.71, 39481, 36367, 39193, 5696, 123, 20398, 99422, 11226
3.19, 35437, 28945, 33158, 10201, 5, 28852, 93447, 11208
3.14, 43603, 9015, 10075, 8282, 393, 5901, 29047, 97071
2.42, 66326, 10204, 11223, 31, 16, 2275, 25215, 48076
2.24, 25350, 24116, 28250, 7660, 49, 18206, 54556, 85705
3.76, 29524, 12662, 13507, 20390, 466, 15571, 49102, 90033
2.5, 38799, 16691, 19868, 847, 0, 8806, 41895, 43232
2.92, 28193, 8861, 10787, 752, 24, 10489, 26308, 55411
3.1, 41041, 13550, 15241, 4393, 33, 10252, 42322, 92395
2.72, 44003, 12576, 13118, 527, 0, 6297, 34875, 96002
3.03, 22549, 27828, 29992, 19944, 227, 33413, 86121, 10456
2.29, 30990, 11096, 13754, 482, 0, 8364, 26450, 30904
2.78, 55216, 3322, 3588, 24, 0, 1105, 9249, 72173
2.35, 56035, 9145, 10498, 132, 0, 2717, 21809, 48075
2.48, 44370, 11475, 12984, 554, 0, 4619, 30292, 72032
3.24, 24836, 9217, 13598, 5014, 151, 12684, 29903, 48210
2.57, 86721, 12264, 12732, 928, 0, 1893, 32104, 91355
2.7, 56196, 10638, 11138, 2190, 0, 3444, 29082, 02136
2.27, 37598, 9832, 10600, 695, 5, 4622, 23564, 95501
2.03, 32210, 11812, 13085, 1301, 0, 6999, 25625, 87106
2.19, 55321, 8480, 9329, 352, 0, 1788, 18667, 85715
2.47, 66617, 7712, 8074, 257, 0, 1225, 19062, 85748
2.51, 82069, 7684, 8300, 162, 52, 1048, 19453, 85749
1.6, 43362, 11388, 12334, 98, 0, 3154, 18420, 80218
3.22, 37648, 16134, 17661, 27611, 14, 16179, 52123, 11237
2.58, 38116, 11821, 13726, 73, 6, 6001, 30854, 48089
2.57, 64891, 9494, 10271, 246, 0, 2021, 24571, 48329
2.68, 47419, 13745, 15401, 88, 18, 5701, 37235, 48186
2.4, 25770, 2577, 3463, 7, 0, 2024, 7740, 45207
2.86, 87915, 13362, 13771, 193, 0, 1243, 38256, 80920
2.69, 45474, 3448, 3731, 17, 0, 1540, 9294, 19079
3.41, 55462, 13841, 14398, 4864, 14, 6544, 47306, 84120
2.08, 45816, 7622, 8679, 97, 20, 1953, 16692, 05301
3.16, 63064, 8019, 8363, 8583, 337, 2050, 25675, 07801
2.96, 98622, 2679, 2783, 136, 0, 318, 7976, 11705
2.82, 46625, 11775, 13311, 4404, 66, 4911, 33412, 85203
2.95, 38415, 19112, 21221, 7856, 16, 14850, 59376, 11691
2.51, 51058, 8268, 9313, 490, 0, 3798, 22011, 79602
2.45, 75875, 16644, 17634, 286, 0, 1774, 41038, 12065
2.93, 28203, 5273, 6414, 23, 0, 4445, 15592, 71302
2.89, 42895, 8881, 9771, 395, 0, 5779, 26433, 70363
2.53, 47108, 6418, 6881, 113, 0, 2505, 16407, 70507
2.38, 42936, 17674, 18861, 1415, 0, 8264, 42464, 70506
1.72, 61209, 9139, 10153, 343, 0, 458, 16170, 94595
2.66, 132802, 10022, 10387, 190, 0, 630, 26822, 94549
2.61, 45600, 556, 710, 78, 0, 43, 1616, 23301
3.7, 28377, 16281, 17505, 25529, 73, 22352, 60639, 90037
2.66, 47274, 11999, 12914, 3503, 130, 5762, 33119, 95482
3.26, 65278, 14942, 15760, 9447, 86, 5622, 49326, 95023
2.33, 40720, 13279, 14754, 447, 2, 7000, 38566, 54901
4.55, 30118, 22258, 23883, 44300, 34, 41810, 101523, 90011
3.56, 51278, 4585, 5051, 4806, 0, 2379, 16337, 77085
3.56, 51278, 4585, 5051, 4806, 0, 2379, 16337, 77085
2.83, 50707, 19257, 20183, 3361, 13, 6900, 55076, 84404
2.42, 82475, 7999, 8730, 248, 0, 1176, 19443, 85028
3.08, 27776, 4868, 5442, 3723, 12, 3614, 15039, 78416
2.3, 40616, 10791, 11867, 2073, 0, 3742, 25068, 86326
2.44, 49662, 15329, 17376, 3090, 12, 7951, 37764, 85745
2.83, 31871, 11903, 13917, 3105, 0, 9811, 33800, 72209
2.58, 38114, 20826, 24774, 10433, 0, 9520, 53918, 32822
2.45, 52803, 848, 1121, 0, 0, 25, 2128, 21520
3, 24537, 22210, 24238, 16006, 61, 26845, 69144, 10457
3.75, 35497, 14290, 16519, 14741, 45, 16526, 53566, 85033
2.92, 115321, 3313, 3503, 107, 0, 58, 9668, 20607
2.98, 109051, 11956, 12293, 131, 0, 1287, 36425, 11787
2.98, 109051, 11956, 12293, 131, 0, 1287, 36425, 11787
2.62, 48152, 14764, 15654, 2388, 640, 7338, 40137, 97230
2.67, 22207, 10946, 17404, 39, 12, 13027, 29682, 48203
2.67, 22207, 10946, 17404, 39, 12, 13027, 29682, 48203
3.65, 48283, 12992, 13748, 13553, 139, 10273, 47858, 95116
2.89, 31992, 16744, 19409, 9763, 109, 15617, 51507, 85713
2.47, 60268, 17249, 18109, 311, 9, 2770, 42828, 54956
2.33, 25687, 5426, 6967, 106, 13, 4676, 12818, 64132
2.33, 25687, 5426, 6967, 106, 13, 4676, 12818, 64132
2.33, 25687, 5426, 6967, 106, 13, 4676, 12818, 64132
2.48, 32939, 12274, 13395, 4607, 41, 9649, 30884, 80204
2.8, 20856, 8272, 10048, 6211, 96, 12202, 23931, 85006
2.79, 33241, 14097, 16959, 6906, 0, 14099, 39657, 85015
2.24, 47561, 5275, 5723, 936, 0, 2734, 12093, 87104
3.22, 34725, 19381, 24726, 12847, 165, 17825, 62671, 60609
3.04, 45196, 3988, 4726, 1359, 12, 1677, 12259, 83350
1.9, 57902, 8363, 10646, 533, 0, 2011, 16007, 87501
2.85, 47279, 1367, 1682, 307, 0, 627, 3897, 75756
2.44, 46800, 15856, 17206, 3638, 58, 7442, 38927, 98204
1.95, 47336, 20749, 23105, 3117, 123, 7595, 41616, 78704
2.26, 30143, 6457, 7337, 310, 0, 3731, 14753, 02723
2.35, 59485, 959, 1212, 10, 0, 202, 2279, 56209
2.52, 46515, 670, 724, 17, 0, 216, 1686, 56243
2.45, 27324, 9684, 11076, 82, 0, 8119, 24620, 23607
2.22, 40689, 6090, 6817, 137, 0, 1857, 13550, 23605
2.45, 45708, 11647, 12249, 1384, 0, 4234, 29281, 55428
2.98, 76922, 15026, 16107, 940, 0, 1993, 44861, 75098
3.33, 36949, 14545, 16627, 13750, 93, 14409, 49479, 94601
2.89, 46178, 16792, 18227, 6525, 64, 7474, 48826, 80229
1.91, 11118, 4363, 5501, 77, 0, 5317, 9063, 43604
2.89, 89614, 14041, 14756, 403, 10, 2574, 40572, 48188
2.23, 42423, 12181, 13352, 314, 0, 4097, 27735, 95969
3.02, 31532, 20110, 23424, 19704, 7, 20924, 61462, 78501
2.55, 53760, 14707, 15631, 961, 0, 5292, 38086, 55119
2.51, 59922, 13841, 14826, 2112, 26, 3110, 34857, 98908
2.52, 49658, 7696, 8143, 491, 0, 2574, 19440, 80915
2.77, 34517, 8325, 10107, 1951, 0, 5020, 23681, 33805
2.1, 30254, 4230, 5487, 381, 9, 2746, 9161, 12202
3.19, 35437, 28945, 33158, 10201, 5, 28852, 93447, 11208
3.07, 27546, 4250, 5324, 2987, 0, 4648, 13309, 06608
2.55, 34633, 25595, 29740, 2297, 20, 20379, 66315, 11233
2.88, 33127, 30553, 33965, 9794, 61, 28718, 89676, 11207
2.88, 48797, 27145, 29291, 1293, 17, 10894, 80337, 11203
2.88, 33127, 30553, 33965, 9794, 61, 28718, 89676, 11207
2.16, 61950, 22826, 25041, 1364, 22, 7971, 50840, 11238
2.78, 30781, 7577, 9655, 792, 0, 6211, 22410, 06112
2.41, 89659, 6797, 7055, 254, 0, 493, 16418, 19341
2.49, 32395, 12689, 15780, 116, 0, 10940, 33628, 20032
2.65, 63042, 11635, 12465, 3536, 0, 3736, 31108, 22306
2.52, 25179, 263, 316, 0, 0, 105, 663, 74720
2.52, 25179, 263, 316, 0, 0, 105, 663, 74720
2.75, 54834, 4631, 5209, 23, 0, 1418, 12732, 23072
3.47, 83182, 7497, 7861, 2052, 0, 3175, 25987, 75181
2.96, 111841, 22540, 23949, 2979, 12, 3166, 66738, 75034
1.46, 18584, 2452, 3099, 129, 0, 1729, 6319, 40202
1.46, 18584, 2452, 3099, 129, 0, 1729, 6319, 40202
2.52, 31320, 1641, 2021, 0, 0, 752, 4229, 39735
3.23, 101698, 7956, 8163, 199, 0, 808, 25729, 68135
2.52, 31320, 1641, 2021, 0, 0, 752, 4229, 39735
2.86, 59539, 7889, 8299, 1787, 5, 2188, 22699, 97013
2.44, 52971, 17330, 18812, 412, 0, 4003, 42788, 63033
2.55, 51959, 14882, 16781, 278, 0, 5103, 44823, 49201
2.59, 42483, 1327, 1592, 111, 0, 557, 3439, 28456
2.58, 50404, 807, 912, 31, 0, 151, 2084, 28436
3, 46006, 225, 225, 18, 0, 219, 674, 98220
2.34, 55516, 3586, 3761, 4, 0, 710, 8712, 15024
2.28, 47243, 19068, 20236, 1734, 9, 5969, 43659, 87112
2.16, 61950, 22826, 25041, 1364, 22, 7971, 50840, 11238
2.34, 31486, 5677, 7065, 123, 0, 2424, 13458, 71953
2.34, 31486, 5677, 7065, 123, 0, 2424, 13458, 71953
2.8, 36577, 27089, 32221, 11584, 45, 21977, 77041, 11221
2.72, 41692, 12873, 14371, 2283, 0, 6509, 35270, 86314
2.72, 41692, 12873, 14371, 2283, 0, 6509, 35270, 86314
3.48, 32628, 8687, 10098, 8113, 300, 8674, 30509, 94621
2.7, 63707, 976, 1011, 5, 0, 150, 2637, 23086
3.28, 80735, 8011, 8809, 697, 48, 2180, 26305, 33470
2.65, 94950, 6782, 7065, 199, 0, 643, 17965, 80124
2.51, 28326, 7012, 9742, 352, 0, 6238, 18207, 46016
2.48, 39346, 6864, 7556, 3023, 115, 4248, 19631, 06226
2.52, 56999, 11241, 12093, 436, 0, 2502, 28924, 55060
2.37, 63404, 10341, 12006, 463, 0, 2127, 24476, 76049
2.48, 54840, 902, 2041, 0, 0, 187, 2237, 04001
3.07, 85252, 3615, 3914, 26, 0, 342, 11087, 46259
2.34, 46822, 8911, 10601, 872, 0, 2958, 21468, 76048
2.7, 108981, 7674, 7921, 94, 0, 731, 20897, 01720
2.69, 64583, 3829, 4029, 13, 24, 513, 10310, 02743
3.02, 52500, 162, 243, 0, 0, 8, 490, 03601
2.94, 75470, 18311, 20366, 1150, 183, 3853, 53939, 30101
3.04, 24048, 19294, 23043, 8351, 59, 28802, 59169, 19134
2.72, 51825, 8832, 9494, 1513, 0, 3221, 24403, 76033
2.75, 74579, 20285, 21195, 4628, 25, 5394, 56112, 92647
2.4, 42610, 16098, 17149, 1096, 9, 6661, 39840, 83704
2.38, 43784, 948, 1114, 36, 0, 300, 2285, 56510
2.44, 38761, 2690, 3041, 0, 0, 1328, 8391, 45810
3.07, 109413, 5975, 6311, 95, 0, 499, 18371, 49301
2.81, 47554, 11162, 12286, 2079, 0, 6326, 32014, 95340
2.44, 38761, 2690, 3041, 0, 0, 1328, 8391, 45810
2.39, 39816, 12386, 13625, 335, 0, 5368, 30661, 74820
2.39, 39816, 12386, 13625, 335, 0, 5368, 30661, 74820
2.88, 81819, 22132, 23066, 1755, 0, 3159, 63901, 78613
2.34, 20891, 9828, 12815, 12786, 14, 8593, 23100, 33130
2.81, 57894, 12688, 13591, 269, 0, 2410, 35854, 83642
3.78, 60381, 8658, 9067, 7097, 49, 2979, 32929, 90606
3.07, 109413, 5975, 6311, 95, 0, 499, 18371, 49301
2.52, 87857, 4398, 4714, 292, 0, 766, 11094, 92007
2.38, 43784, 948, 1114, 36, 0, 300, 2285, 56510
2.38, 43784, 948, 1114, 36, 0, 300, 2285, 56510
2.7, 43000, 496, 650, 0, 0, 201, 1338, 63559
2.58, 45250, 382, 444, 16, 0, 73, 987, 63533
2.7, 43000, 496, 650, 0, 0, 201, 1338, 63559
2.58, 45250, 382, 444, 16, 0, 73, 987, 63533
2.47, 31327, 5913, 7004, 23, 0, 2918, 15494, 42728
2.47, 31327, 5913, 7004, 23, 0, 2918, 15494, 42728
2.47, 31327, 5913, 7004, 23, 0, 2918, 15494, 42728
2.7, 54057, 1099, 1240, 12, 0, 170, 2971, 74330
2.7, 54057, 1099, 1240, 12, 0, 170, 2971, 74330
2.47, 31327, 5913, 7004, 23, 0, 2918, 15494, 42728
2.3, 40662, 657, 697, 0, 0, 214, 1551, 50002
2.3, 40662, 657, 697, 0, 0, 214, 1551, 50002
2.46, 39319, 8613, 9935, 860, 0, 4923, 21379, 19125
2.91, 44458, 5218, 5856, 317, 0, 2552, 15216, 30103
2.91, 44458, 5218, 5856, 317, 0, 2552, 15216, 30103
2.91, 44458, 5218, 5856, 317, 0, 2552, 15216, 30103
2.39, 31604, 1156, 1266, 187, 5, 686, 2814, 42202
2.3, 66667, 54, 824, 7, 0, 7, 124, 99546
2.44, 49662, 15329, 17376, 3090, 12, 7951, 37764, 85745
2.24, 98638, 5460, 5666, 410, 13, 580, 12384, 94904
4.33, 47332, 12678, 13214, 21464, 98, 10697, 55328, 93458
2.62, 58284, 13539, 14406, 1852, 0, 3999, 35550, 77065
3.11, 87486, 16504, 17696, 2736, 41, 3504, 51493, 94513
3.49, 42021, 898, 919, 0, 0, 638, 3134, 46772
3.49, 42021, 898, 919, 0, 0, 638, 3134, 46772
3.49, 42021, 898, 919, 0, 0, 638, 3134, 46772
3.18, 53634, 12805, 14240, 6821, 42, 7706, 41066, 80022
3.18, 53634, 12805, 14240, 6821, 42, 7706, 41066, 80022
2.35, 44312, 10492, 11234, 853, 16, 3672, 26120, 68901
2.49, 58272, 7328, 7940, 117, 0, 1320, 18291, 62305
2.35, 44312, 10492, 11234, 853, 16, 3672, 26120, 68901
2.34, 38898, 13689, 15352, 125, 0, 5623, 33698, 62301
2.89, 45651, 5962, 6580, 1189, 9, 2487, 17622, 76031
2.63, 39633, 6035, 7223, 659, 29, 3052, 16218, 67005
2.41, 39248, 7763, 8588, 146, 0, 4113, 19242, 67208
2.42, 34817, 7422, 8645, 444, 0, 4178, 18102, 35903
2.19, 47086, 7509, 8143, 22, 0, 2027, 22005, 62656
2.38, 47622, 12329, 13254, 405, 5, 3824, 29553, 68134
2.04, 39395, 7466, 9470, 55, 0, 2665, 16272, 63110
2.44, 37432, 19096, 22334, 396, 13, 12469, 48060, 23223
2.39, 62105, 12649, 13091, 196, 0, 2388, 30524, 99223
2.57, 68714, 12703, 13617, 3183, 67, 2640, 32881, 27511
2.16, 73673, 10980, 11790, 1106, 14, 2026, 24511, 93105
2.59, 75674, 18754, 20310, 3281, 9, 4799, 50230, 92626
1.95, 51117, 16322, 17457, 2451, 0, 4937, 31847, 92116
3.21, 56402, 16294, 17536, 6162, 16, 7230, 53676, 92504
3.68, 38983, 3673, 3948, 2320, 0, 4532, 13662, 98951
2.53, 56725, 13443, 13754, 530, 0, 3093, 34193, 55433
2.27, 48421, 9570, 10547, 538, 0, 2623, 22547, 53545
2.62, 39973, 17835, 19800, 4617, 151, 11756, 47448, 95207
2.7, 65386, 4810, 5073, 39, 0, 1227, 13039, 99037
4.37, 58186, 20036, 20919, 28471, 201, 15545, 87910, 92704
2.23, 44551, 7998, 8645, 70, 0, 2707, 18749, 56537
2.44, 54120, 13056, 13543, 110, 0, 2985, 32372, 48642
2.4, 69852, 12358, 13318, 273, 0, 1858, 29760, 80021
2.33, 43136, 15239, 17780, 2688, 0, 5911, 35560, 85202
2.32, 49893, 5083, 5467, 81, 0, 1108, 12153, 51401
2.3, 40423, 8694, 9524, 275, 0, 4971, 21004, 97333
1.86, 59839, 11328, 11900, 258, 18, 1829, 21182, 98107
2.16, 61059, 3508, 3766, 13, 0, 587, 7752, 83712
2.57, 64891, 9494, 10271, 246, 0, 2021, 24571, 48329
2.28, 37830, 3203, 3661, 16, 0, 1350, 7651, 48413
2.53, 71238, 4409, 4548, 57, 0, 357, 11149, 68512
2.87, 36621, 9730, 10071, 8095, 3, 7407, 29186, 98901
2.34, 38898, 13689, 15352, 125, 0, 5623, 33698, 62301
2.3, 51750, 148, 190, 0, 0, 23, 340, 58210
2.44, 24717, 3230, 4310, 620, 0, 3128, 8202, 46803
2.45, 44302, 11002, 11679, 332, 0, 4040, 28006, 52804
2.3, 54096, 18865, 19613, 350, 23, 6283, 43839, 97405
3.62, 32230, 9401, 10568, 460, 0, 12614, 34312, 83440
2.26, 38438, 10061, 11371, 855, 0, 4497, 24038, 73069
2.48, 48170, 19737, 21698, 708, 0, 7242, 49611, 73505
2.62, 32986, 9188, 10442, 1660, 0, 6000, 25154, 73701
2.93, 27877, 10304, 11794, 7659, 0, 8353, 30553, 73119
2.36, 39613, 6549, 7288, 298, 0, 2996, 15583, 46615
3.18, 55724, 17459, 18505, 4487, 35, 7766, 55529, 78245
