State Name,FIPS Code,LEA ID,LEA Name,NCES ID,School Name,Total Students,Total Rate,Native American Count,Native American Rate,Asian/Pacific Islander Count,Asian/Pacific Islander Rate,Black Count,Black Rate,Hispanic Count,Hispanic Rate,Two or More Count,Two or More Rate,White Count,White Rate,Disabilities Count,Disabilities Rate,Economically Disadvantaged Count,Economically Disadvantaged Rate,Limited English Count,Limited English Rate
IOWA,19,1907410,Clarke Comm School District,190741000704,Clarke Learning Center,5,PS,,.,,.,,.,1,PS,,.,4,PS,1,PS,3,PS,,.
IOWA,19,1907440,Clarksville Comm School District,190744000355,Clarksville High School,20,GE80,,.,1,PS,,.,,.,1,PS,18,GE80,5,PS,7,GE50,,.
IOWA,19,1907470,Clay Central-Everly Comm School District,190747000690,Clay Central-Everly High School,29,GE80,,.,1,PS,,.,,.,,.,28,GE80,4,PS,9,GE50,,.
IOWA,19,1913350,Clayton Ridge Comm School District,191335000806,Clayton Ridge High School,67,90-94,,.,,.,,.,2,PS,2,PS,63,90-94,8,GE50,26,GE80,2,PS
IOWA,19,1907590,Clear Creek Amana Comm School District,190759000361,Clear Creek Amana High School,148,85-89,,.,1,PS,3,PS,5,PS,2,PS,137,85-89,19,40-59,31,70-79,,.
IOWA,19,1907620,Clear Lake Comm School District,190762000363,Clear Lake High School,102,GE95,,.,3,PS,,.,2,PS,2,PS,95,GE95,12,GE50,28,GE80,,.
IOWA,19,1907710,Clinton Comm School District,190771000370,Clinton High School,266,83,1,PS,2,PS,20,GE80,9,GE50,8,GE50,226,80-84,56,70-79,103,70-74,,.
IOWA,19,1907710,Clinton Comm School District,190771002028,Lincoln High School,32,30-39,,.,,.,4,PS,4,PS,3,PS,21,21-39,6,GE50,23,21-39,,.
IOWA,19,1900009,Colfax-Mingo Comm School District,190000900386,Colfax-Mingo High School,69,85-89,,.,,.,,.,,.,2,PS,67,85-89,13,GE50,32,70-79,,.
IOWA,19,1907860,College Comm School District,190786000388,Prairie High School,300,86,2,PS,3,PS,7,LT50,8,GE50,7,GE50,273,85-89,40,40-49,64,70-74,4,PS
IOWA,19,1907900,Collins-Maxwell Comm School District,190790001951,Collins-Maxwell Middle/High School,49,GE90,,.,,.,,.,,.,,.,49,GE90,5,PS,9,GE50,,.
IOWA,19,1907920,Colo-Nesco Comm School District,190792000395,Colo-Nesco Senior High School,29,GE80,,.,,.,,.,,.,,.,29,GE80,4,PS,9,GE50,,.
