00459948, City: Midsize (12), Regular elementary or secondary, N/A, 21.0, 244, 10.8, 2, 10, 7, 21, 187, 0, 17, 14, 15, 14, 16, 17, 20, 15, 17, 17, 23, 20, 21, 18
00459879, City: Midsize (12), Regular elementary or secondary, N/A, 2.0, 18, 9, 0, 0, 2, 0, 16, 0, N/A, 1, 4, 2, 1, 1, 3, 3, 2, 1, N/A, N/A, N/A, N/A
00459868, Suburb: Midsize (22), Regular elementary or secondary, N/A, 6.0, 27, 4.5, 0, 0, 0, 0, 27, 0, N/A, N/A, 1, 2, 1, 1, 1, 3, 4, 2, 6, 1, 5, N/A
00459799, City: Small (13), Regular elementary or secondary, N/A, 8.6, 72, 7, 0, 0, 0, 2, 58, 0, 12, N/A, 8, 13, 11, 4, 17, 7, N/A, N/A, N/A, N/A, N/A, N/A
00459777, Rural: Distant (42), Regular elementary or secondary, N/A, 10.0, 129, 12.9, 0, 0, 0, 0, 129, 0, N/A, 14, 16, 16, 16, 15, 13, 14, 8, 17, N/A, N/A, N/A, N/A
00459722, Town: Distant (32), Regular elementary or secondary, N/A, 5.8, 59, 10.2, 0, 0, 3, 0, 55, 1, N/A, 10, 8, 6, 7, 6, 5, 5, 10, 2, N/A, N/A, N/A, N/A
00459711, Town: Distant (32), Special Program Emphasis, N/A, 5.9, 48, 8.1, 0, 2, 0, 0, 44, 2, N/A, 9, 7, 3, 1, 7, 5, 3, 6, 7, N/A, N/A, N/A, N/A
00459697, Rural: Fringe (41), Regular elementary or secondary, N/A, 18.5, 263, 14.2, 0, 2, 4, 1, 256, 0, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 57, 88, 72, 46
00459686, Town: Distant (32), Regular elementary or secondary, N/A, 26.4, 463, 13.4, 0, 8, 2, 6, 333, 5, 109, 42, 37, 42, 43, 40, 37, 33, 41, 39, N/A, N/A, N/A, N/A
00459664, Rural: Distant (42), Regular elementary or secondary, N/A, 5.9, 55, 9.3, 0, 3, 0, 0, 52, 0, N/A, 4, 4, 9, 4, 8, 8, 4, 9, 5, N/A, N/A, N/A, N/A
00459653, Rural: Remote (43), Regular elementary or secondary, N/A, 3.5, 24, 6.9, 0, 0, 0, 0, 24, 0, N/A, 3, 2, 4, 2, 3, 4, 4, 2, N/A, N/A, N/A, N/A, N/A
00459631, Rural: Distant (42), Regular elementary or secondary, N/A, 5.3, 51, 9.6, 0, 2, 0, 0, 49, 0, N/A, 4, 6, 6, 3, 8, 7, 4, 7, 6, N/A, N/A, N/A, N/A
00459609, Rural: Distant (42), Regular elementary or secondary, N/A, 6.9, 83, 9.1, 0, 0, 1, 0, 62, 0, 20, 11, 7, 4, 10, 6, 5, 7, 6, 7, N/A, N/A, N/A, N/A
00459595, Town: Distant (32), Regular elementary or secondary, N/A, 23.5, 308, 11.4, 0, 1, 0, 1, 267, 0, 39, 36, 24, 28, 33, 24, 33, 34, 24, 33, N/A, N/A, N/A, N/A
00459584, Town: Distant (32), Regular elementary or secondary, N/A, 18.1, 289, 16, 0, 3, 8, 0, 278, 0, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 74, 73, 64, 78
00459573, Town: Remote (33), Regular elementary or secondary, N/A, 9.1, 130, 12.6, 0, 5, 0, 1, 109, 0, 15, 14, 6, 16, 12, 11, 12, 15, 16, 13, N/A, N/A, N/A, N/A
00459551, Rural: Distant (42), Regular elementary or secondary, N/A, 10.3, 154, 12.4, 0, 0, 3, 0, 121, 4, 26, 16, 12, 17, 13, 17, 12, 16, 12, 13, N/A, N/A, N/A, N/A
00459529, Rural: Distant (42), Regular elementary or secondary, N/A, 23.4, 302, 12.9, 0, 0, 2, 1, 299, 0, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 65, 62, 104, 71
00459518, Town: Remote (33), Regular elementary or secondary, N/A, 1.3, 140, 107.7, 0, 3, 2, 1, 134, 0, N/A, 21, 23, 19, 19, 13, 14, 10, 10, 11, N/A, N/A, N/A, N/A
00459507, Town: Remote (33), Regular elementary or secondary, N/A, 27.4, 381, 13.9, 0, 8, 11, 7, 355, 0, N/A, 51, 43, 46, 37, 49, 37, 38, 44, 36, N/A, N/A, N/A, N/A
00459482, Rural: Distant (42), Regular elementary or secondary, N/A, 12.1, 54, 4.3, 0, 17, 0, 2, 33, 0, 2, 1, 2, 2, N/A, N/A, 3, 2, 4, 3, 5, 9, 9, 12
00459471, Rural: Distant (42), Regular elementary or secondary, N/A, 5.0, 51, 7.2, 0, 0, 0, 0, 36, 0, 15, 8, 4, 4, 2, 4, 3, 1, 5, 5, N/A, N/A, N/A, N/A
